#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Dengue4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Dengue4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Dengue4" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Dengue4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Dengue4">
#                    <trait id="dateTrait.t:Dengue4" spec="beast.evolution.tree.TraitSet" traitname="date">
#                D4Brazi_1982=1982.0,
#D4ElSal_1983=1983.0,
#D4ElSal_1994=1994.0,
#D4Indon_1976=1976.0,
#D4Indon_1977=1977.0,
#D4Mexico_1984=1984.0,
#D4NewCal_1981=1981.0,
#D4Philip_1964=1964.0,
#D4Philip_1956=1956.0,
#D4Philip_1984=1984.0,
#D4PRico_1986=1986.0,
#D4SLanka_1978=1978.0,
#D4Tahiti_1979=1979.0,
#D4Tahiti_1985=1985.0,
#D4Thai_1963=1963.0,
#D4Thai_1978=1978.0,
#D4Thai_1984=1984.0                
#                                    <taxa id="TaxonSet.Dengue4" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Dengue4"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:Dengue4" name="distribution">
#            <parameter id="clockRate.c:Dengue4" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:Dengue4" name="distribution">
#            <parameter id="kappa.s:Dengue4" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Dengue4" name="distribution" x="@popSize.t:Dengue4">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <distribution id="D4PRico  .prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:Dengue4">
#            <taxonset id="D4PRico  " spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="D4PRico_1986" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">1986.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">5.0</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Dengue4" id="treeLikelihood.Dengue4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Dengue4">
#            <siteModel id="SiteModel.s:Dengue4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Dengue4" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Dengue4" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Dengue4" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Dengue4" kappa="@kappa.s:Dengue4" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:Dengue4" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:Dengue4" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:Dengue4" id="StrictClock.c:Dengue4" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Dengue4	TreeHeight	clockRate	kappa	popSize	CoalescentConstant	logP(mrca(D4PRico  .prior))	height(D4PRico_1986)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-30075.5282013337	-30012.99647129531	-62.53173003838773	-30012.99647129531	38.67956740007291	1.0	2.0	0.3	-59.3419663631006	-2.5283764456387727	1986.0	0.25	0.25	0.25	0.25
10000	-3937.2164313794633	-3853.531099279318	-83.68533210014539	-3853.531099279318	66.67518394971611	8.777069879587224E-4	25.20466238013234	36.53810440123075	-71.56681932403906	-2.563955424171967	1987.333772441858	0.2555110355328687	0.22890940868374943	0.24514906914997456	0.2704304866334072
20000	-3930.570761702194	-3848.6498925345536	-81.92086916764053	-3848.6498925345536	70.25265218369861	8.537029911647989E-4	18.378284116513534	27.057697869259997	-70.8723987120132	-2.528424722189692	1985.9508692810357	0.2761944957087492	0.21240262529272896	0.24392752357505582	0.26747535542346595
30000	-3928.549700861219	-3847.483951382106	-81.06574947911284	-3847.483951382106	68.70633686918957	7.932841376312112E-4	12.97506791129336	27.57078725928984	-70.40357718061428	-2.8585240185540166	1990.062927349309	0.2760392784728091	0.22038880105747802	0.24754013260123514	0.2560317878684777
40000	-3933.925457232399	-3850.380954752707	-83.54450247969196	-3850.380954752707	64.96289586418918	7.297538084276912E-4	19.68645243076293	29.954532696316786	-72.12474179189556	-2.643627051450905	1988.4005270859973	0.296853845983992	0.2077309839085246	0.2503681457093179	0.24504702439816547
50000	-3930.509402812472	-3846.4026783873005	-84.10672442517166	-3846.4026783873005	72.87979430768092	8.124210358977998E-4	19.0042926894752	32.56776064881481	-72.67678611026011	-2.649717599443486	1988.4631398032259	0.2923816201050304	0.2066231896857219	0.24133534546724325	0.2596598447420045
60000	-3937.533557705144	-3853.5959535837646	-83.93760412137935	-3853.5959535837646	68.91514940548196	7.724963003005282E-4	14.776964865880107	47.881059782161046	-72.36079872872773	-2.95565872341113	1990.6221330453177	0.3000035453802672	0.21172094721528273	0.2522381216665878	0.2360373857378622
70000	-3933.1184808447556	-3849.6659190507903	-83.45256179396524	-3849.6659190507903	70.09276823574467	8.030513785851698E-4	14.878376058851584	23.756284866363387	-71.15912175548384	-4.358901072531373	1995.5669342709475	0.2800810140556022	0.21172094721528273	0.2522381216665878	0.2559599170625272
80000	-3923.8349777202093	-3843.298956243032	-80.53602147717702	-3843.298956243032	63.272192599846804	8.840042683148456E-4	17.611958168807885	29.394057754717036	-69.26649492731197	-2.760766883589694	1989.4087419816622	0.28083261318698777	0.20107211233020877	0.2522381216665878	0.2658571528162156
90000	-3930.636184486375	-3849.4305630456665	-81.20562144070833	-3849.4305630456665	66.04613121903684	8.296327570115668E-4	18.674026993465546	34.73050296486692	-69.86590816779807	-2.5344491260995836	1985.4489700343534	0.2708386747468829	0.20107211233020877	0.2748546331022636	0.2532345798206447
100000	-3936.5207731647124	-3856.0924085827382	-80.42836458197415	-3856.0924085827382	70.27249322502705	9.488409998101082E-4	17.3198257730187	24.84510069584513	-69.57516171990166	-2.5492146753256955	1987.0207406547925	0.25585860299087315	0.2160521840862185	0.2748546331022636	0.2532345798206447
110000	-3939.064465333335	-3855.3124599941925	-83.75200533914285	-3855.3124599941925	74.81452165189401	7.88697702500049E-4	19.417077431029856	41.182700905927824	-71.94942785651196	-2.739281765687686	1989.247347533364	0.28532332542992433	0.2160521840862185	0.25222295277748846	0.2464015377063687
120000	-3934.5481143777583	-3846.799174217766	-87.7489401599922	-3846.799174217766	78.86419268444303	6.869634712905655E-4	21.298278883918584	30.172477722064514	-76.25614590031986	-2.5290142612964317	1986.1785799061568	0.28532332542992433	0.22215586574265953	0.25222295277748846	0.24029785604992768
130000	-3939.8622239873516	-3853.55923715503	-86.30298683232164	-3853.55923715503	71.92336013061848	6.6384125377858E-4	16.048198507786818	35.723571402520854	-75.18338468899914	-2.6172348713750746	1988.107823827272	0.29415654389121154	0.1986164937089717	0.2570136690360133	0.25021329336380344
140000	-3930.736596920907	-3849.896033321484	-80.8405635994225	-3849.896033321484	67.26698727977227	9.207308440085327E-4	17.072076487620645	36.7363298344702	-69.61096978426735	-2.5659170260097395	1987.3700470862523	0.2761457489448387	0.2132915583954575	0.2495422338010375	0.2610204588586662
